"id","type_t","cluster_name_t","cluster_code_t","key_t","year_t","region_type_t","region_code_t","region_name_t","region_short_name_t","region_area_type_t","region_key_t","traded_b","subcluster_b","empflag_t","emp_tl","emp_reported_tl","qp1_tl","est_tl","ap_tl","private_wage_tf","rec_count_tl","supression_b","lq_tf","region_emp_per_tf","cluster_emp_per_tf","emp_tl_rank_i","emp_tl_per_rank_i","private_wage_tf_rank_i","private_wage_tf_per_rank_i","lq_tf_rank_i","lq_tf_per_rank_i","est_tl_rank_i","est_tl_per_rank_i","timestamp","qualifying_b","significant_b","strong_b","strong10_b","cluster_type"
"cluster/economic/57094/104/2016","cluster","Local Utilities",104,"local_utilities",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",5118,1458,21677,348,85242,58465.02,149,FALSE,0.86389816,0.014807228,0.0036644172,69,38,106,59,136,76,52,29,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/103/2016","cluster","Local Health Services",103,"local_health_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",85841,47091,565079,3714,2402432,51016.797,806,FALSE,1.1614698,0.24835235,0.004926634,57,31,58,32,36,20,52,29,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/102/2016","cluster","Local Personal Services (Non-Medical)",102,"local_personal_services_non_medical",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",11591,8261,42871,1236,200127,24225.518,322,FALSE,0.9858824,0.0335347,0.0041818405,61,34,44,24,63,35,65,36,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/101/2016","cluster","Local Food and Beverage Processing and Distribution",101,"local_food_and_beverage_processing_and_distribution",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",FALSE,FALSE,"",17918,10343,54279,899,207257,20038.383,309,FALSE,0.9701373,0.051839765,0.0041150544,63,35,154,85,111,62,59,33,"2018-10-01T03:23:00.952Z",NA,NA,NA,NA,"local"
"cluster/economic/57094/51/2016","cluster","Wood Products",51,"wood_products",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",5336,1041,6301,148,28774,27640.73,86,FALSE,3.622919,0.02936822,0.014549699,25,14,121,67,36,20,27,15,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/economic/57094/50/2016","cluster","Water Transportation",50,"water_transportation",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",195,0,0,4,0,0,3,FALSE,0.16252646,0.0010732389,0.00065270875,95,53,NA,NA,95,60,101,56,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/49/2016","cluster","Vulcanized and Fired Materials",49,"vulcanized_and_fired_materials",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",3190,0,0,24,0,0,23,FALSE,3.2065222,0.017557088,0.012877442,29,16,NA,NA,23,13,56,31,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/economic/57094/48/2016","cluster","Video Production and Distribution",48,"video_production_and_distribution",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",151,31,343,17,1546,49870.97,8,FALSE,0.13714872,0.0008310722,0.00055079133,67,37,58,32,90,52,81,45,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/47/2016","cluster","Upstream Metal Manufacturing",47,"upstream_metal_manufacturing",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",2173,818,10191,20,41299,50487.773,17,FALSE,1.410589,0.011959734,0.005664947,52,29,37,20,53,30,62,34,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/46/2016","cluster","Upstream Chemical Products",46,"upstream_chemical_products",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",510,0,0,8,0,0,8,FALSE,0.7332499,0.0028069327,0.0029447428,86,48,NA,NA,97,57,99,55,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/45/2016","cluster","Transportation and Logistics",45,"transportation_and_logistics",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",4887,2832,30967,284,130775,46177.613,119,FALSE,0.6982912,0.026897019,0.002804348,78,43,97,54,141,78,75,41,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/44/2016","cluster","Trailers, Motor Homes, and Appliances",44,"trailers_motor_homes_and_appliances",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",130,0,0,8,0,0,8,FALSE,0.23140223,0.00071549264,0.0009293149,88,49,NA,NA,108,68,56,31,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/43/2016","cluster","Tobacco",43,"tobacco",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",276,146,1382,6,4371,29938.355,4,FALSE,5.1805243,0.0015190459,0.020805066,9,5,3,1,9,15,7,4,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/economic/57094/42/2016","cluster","Textile Manufacturing",42,"textile_manufacturing",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",160,0,0,12,0,0,11,FALSE,0.21322404,0.0008806063,0.000856311,99,55,NA,NA,120,70,69,38,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/41/2016","cluster","Recreational and Small Electric Goods",41,"recreational_and_small_electric_goods",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",614,34,311,23,1510,44411.766,16,FALSE,1.0094873,0.0033793268,0.0040541166,68,38,35,19,89,51,71,39,"2018-10-01T03:23:00.952Z",TRUE,FALSE,FALSE,FALSE,"traded"
"cluster/economic/57094/40/2016","cluster","Production Technology and Heavy Machinery",40,"production_technology_and_heavy_machinery",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",6685,0,0,53,0,0,46,FALSE,1.7480861,0.036792833,0.0070203408,56,31,NA,NA,55,30,78,43,"2018-10-01T03:23:00.952Z",TRUE,TRUE,FALSE,FALSE,"traded"
"cluster/economic/57094/39/2016","cluster","Printing Services",39,"printing_services",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",4129,424,3771,104,16848,39735.848,43,FALSE,2.1867273,0.022725146,0.0087819295,35,19,83,46,14,8,58,32,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,TRUE,"traded"
"cluster/economic/57094/38/2016","cluster","Plastics",38,"plastics",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",5734,199,1947,41,8123,40819.094,32,FALSE,2.0378392,0.03155873,0.0081839925,42,23,90,50,31,17,61,34,"2018-10-01T03:23:00.952Z",TRUE,TRUE,TRUE,FALSE,"traded"
"cluster/economic/57094/37/2016","cluster","Performing Arts",37,"performing_arts",2016,"economic","57094","Lexington-Fayette-Frankfort-Richmond, KY ","Lexington, KY  Economic Area","Economic Area","lexington_fayette_frankfort_richmond_ky",TRUE,FALSE,"",632,132,903,68,4337,32856.062,36,FALSE,0.42776468,0.0034783948,0.0017179095,87,48,51,28,151,84,79,44,"2018-10-01T03:23:00.952Z",FALSE,FALSE,FALSE,FALSE,"traded"
